run,pwm,label,wheel,direction,duration_s,command_ticks,command_tick_s,command_rad_s_signed,command_rad_s_abs,command_rpm_signed,command_rpm_abs,command_rad_s_corrected,summary_final_ticks,summary_rad_s_signed,summary_rad_s_abs,summary_rpm_signed,summary_rpm_abs,stop_extra_ticks,stop_extra_pct
1,60,left_forward,left,forward,2.0,29,14.5,0.036974913536568184,0.036974913536568184,0.3530844155844156,0.3530844155844156,0.036974913536568184,29,0.036974913536568184,0.036974913536568184,0.3530844155844156,0.3530844155844156,0,0.0
1,60,right_forward,right,forward,2.0,-17,-8.5,-0.02167494931453997,0.02167494931453997,-0.2069805194805195,0.2069805194805195,0.02167494931453997,-16,-0.020399952296037617,0.020399952296037617,-0.19480519480519481,0.19480519480519481,1,5.88235294117647
1,60,left_reverse,left,reverse,2.0,-40,-20.0,-0.05099988074009404,0.05099988074009404,-0.487012987012987,0.487012987012987,-0.05099988074009404,-37,-0.04717488968458699,0.04717488968458699,-0.450487012987013,0.450487012987013,3,7.5
1,60,right_reverse,right,reverse,2.0,30,15.0,0.03824991055507053,0.03824991055507053,0.3652597402597403,0.3652597402597403,-0.03824991055507053,30,0.03824991055507053,0.03824991055507053,0.3652597402597403,0.3652597402597403,0,0.0
2,70,left_forward,left,forward,2.0,859,429.5,1.0952224388935197,1.0952224388935197,10.458603896103897,10.458603896103897,1.0952224388935197,895,1.1411223315596042,1.1411223315596042,10.896915584415584,10.896915584415584,36,4.190919674039581
2,70,right_forward,right,forward,2.0,-52,-26.0,-0.06629984496212225,0.06629984496212225,-0.6331168831168832,0.6331168831168832,0.06629984496212225,-51,-0.0650248479436199,0.0650248479436199,-0.6209415584415585,0.6209415584415585,1,1.9230769230769231
2,70,left_reverse,left,reverse,2.0,-881,-440.5,-1.1232723733005714,1.1232723733005714,-10.72646103896104,10.72646103896104,-1.1232723733005714,-891,-1.1360223434855947,1.1360223434855947,-10.848214285714286,10.848214285714286,-10,1.1350737797956867
2,70,right_reverse,right,reverse,2.0,58,29.0,0.07394982707313637,0.07394982707313637,0.7061688311688312,0.7061688311688312,-0.07394982707313637,58,0.07394982707313637,0.07394982707313637,0.7061688311688312,0.7061688311688312,0,0.0
3,80,left_forward,left,forward,2.0,1687,843.5,2.150919970213466,2.150919970213466,20.539772727272727,20.539772727272727,2.150919970213466,1733,2.2095698330645743,2.2095698330645743,21.099837662337663,21.099837662337663,46,2.7267338470657974
3,80,right_forward,right,forward,2.0,-1075,-537.5,-1.3706217948900274,1.3706217948900274,-13.088474025974026,13.088474025974026,1.3706217948900274,-1100,-1.4024967203525862,1.4024967203525862,-13.392857142857144,13.392857142857144,-25,2.3255813953488373
3,80,left_reverse,left,reverse,2.0,-1288,-644.0,-1.6421961598310282,1.6421961598310282,-15.681818181818183,15.681818181818183,-1.6421961598310282,-1311,-1.6715210912565823,1.6715210912565823,-15.96185064935065,15.96185064935065,-23,1.7857142857142856
3,80,right_reverse,right,reverse,2.0,947,473.5,1.2074221765217266,1.2074221765217266,11.530032467532468,11.530032467532468,-1.2074221765217266,967,1.2329221168917734,1.2329221168917734,11.773538961038962,11.773538961038962,20,2.1119324181626187
4,90,left_forward,left,forward,2.0,2119,1059.5,2.701718682206482,2.701718682206482,25.79951298701299,25.79951298701299,2.701718682206482,2206,2.8126434228161865,2.8126434228161865,26.858766233766236,26.858766233766236,87,4.105710240679565
4,90,right_forward,right,forward,2.0,-1505,-752.5,-1.9188705128460384,1.9188705128460384,-18.323863636363637,18.323863636363637,1.9188705128460384,-1545,-1.9698703935861324,1.9698703935861324,-18.810876623376625,18.810876623376625,-40,2.6578073089700998
4,90,left_reverse,left,reverse,2.0,-1657,-828.5,-2.1126700596583956,2.1126700596583956,-20.17451298701299,20.17451298701299,-2.1126700596583956,-1707,-2.176419910583513,2.176419910583513,-20.78327922077922,20.78327922077922,-50,3.017501508750754
4,90,right_reverse,right,reverse,2.0,1528,764.0,1.9481954442715925,1.9481954442715925,18.603896103896105,18.603896103896105,-1.9481954442715925,1590,2.0272452594187382,2.0272452594187382,19.358766233766236,19.358766233766236,62,4.057591623036649
5,100,left_forward,left,forward,2.0,2713,1356.5,3.4590669111968784,3.4590669111968784,33.03165584415584,33.03165584415584,3.4590669111968784,2853,3.6375664937872076,3.6375664937872076,34.7362012987013,34.7362012987013,140,5.160339107998525
5,100,right_forward,right,forward,2.0,-1995,-997.5,-2.54361905191219,2.54361905191219,-24.28977272727273,24.28977272727273,2.54361905191219,-2031,-2.589518944578275,2.589518944578275,-24.728084415584416,24.728084415584416,-36,1.8045112781954888
5,100,left_reverse,left,reverse,2.0,-2004,-1002.0,-2.5550940250787115,2.5550940250787115,-24.39935064935065,24.39935064935065,-2.5550940250787115,-2053,-2.6175688789853266,2.6175688789853266,-24.995941558441558,24.995941558441558,-49,2.4451097804391217
5,100,right_reverse,right,reverse,2.0,2154,1077.0,2.746343577854064,2.746343577854064,26.225649350649352,26.225649350649352,-2.746343577854064,2277,2.9031682111298536,2.9031682111298536,27.72321428571429,27.72321428571429,123,5.710306406685237
6,110,left_forward,left,forward,2.0,3285,1642.5,4.188365205780223,4.188365205780223,39.99594155844156,39.99594155844156,4.188365205780223,3483,4.4408146154436885,4.4408146154436885,42.40665584415584,42.40665584415584,198,6.027397260273973
6,110,right_forward,right,forward,2.0,-2696,-1348.0,-3.4373919618823385,3.4373919618823385,-32.824675324675326,32.824675324675326,3.4373919618823385,-2821,-3.5967665891951324,3.5967665891951324,-34.346590909090914,34.346590909090914,-125,4.636498516320475
6,110,left_reverse,left,reverse,2.0,-2485,-1242.5,-3.168367590978342,3.168367590978342,-30.25568181818182,30.25568181818182,-3.168367590978342,-2596,-3.3098922600321035,3.3098922600321035,-31.607142857142858,31.607142857142858,-111,4.466800804828973
6,110,right_reverse,right,reverse,2.0,2585,1292.5,3.2958672928285777,3.2958672928285777,31.47321428571429,31.47321428571429,-3.2958672928285777,2735,3.4871168456039303,3.4871168456039303,33.29951298701299,33.29951298701299,150,5.802707930367505
7,120,left_forward,left,forward,2.0,3871,1935.5,4.935513458622601,4.935513458622601,47.13068181818182,47.13068181818182,4.935513458622601,4126,5.260637698340701,5.260637698340701,50.23538961038961,50.23538961038961,255,6.587445104624128
7,120,right_forward,right,forward,2.0,-3218,-1609.0,-4.102940405540566,4.102940405540566,-39.18019480519481,39.18019480519481,4.102940405540566,-3351,-4.272515009001379,4.272515009001379,-40.79951298701299,40.79951298701299,-133,4.13300186451212
7,120,left_reverse,left,reverse,2.0,-2805,-1402.5,-3.576366636899095,3.576366636899095,-34.151785714285715,34.151785714285715,-3.576366636899095,-2915,-3.7166163089343534,3.7166163089343534,-35.49107142857143,35.49107142857143,-110,3.9215686274509802
7,120,right_reverse,right,reverse,2.0,3147,1573.5,4.012415617226899,4.012415617226899,38.315746753246756,38.315746753246756,-4.012415617226899,3358,4.281439988130895,4.281439988130895,40.88474025974026,40.88474025974026,211,6.704798220527486
8,130,left_forward,left,forward,2.0,4544,2272.0,5.793586452074683,5.793586452074683,55.324675324675326,55.324675324675326,5.793586452074683,4853,6.1875605307919095,6.1875605307919095,59.08685064935065,59.08685064935065,309,6.800176056338028
8,130,right_forward,right,forward,2.0,-3511,-1755.5,-4.4765145319617545,4.4765145319617545,-42.747564935064936,42.747564935064936,4.4765145319617545,-3703,-4.721313959514206,4.721313959514206,-45.08522727272727,45.08522727272727,-192,5.468527485046995
8,130,left_reverse,left,reverse,2.0,-3260,-1630.0,-4.156490280317665,4.156490280317665,-39.69155844155844,39.69155844155844,-4.156490280317665,-3394,-4.32733988079698,4.32733988079698,-41.32305194805195,41.32305194805195,-134,4.110429447852761
8,130,right_reverse,right,reverse,2.0,3931,1965.5,5.012013279732742,5.012013279732742,47.8612012987013,47.8612012987013,-5.012013279732742,4213,5.371562438950405,5.371562438950405,51.29464285714286,51.29464285714286,282,7.173747138132791
9,140,left_forward,left,forward,2.0,4826,2413.0,6.153135611292346,6.153135611292346,58.758116883116884,58.758116883116884,6.153135611292346,5184,6.6095845439161875,6.6095845439161875,63.11688311688312,63.11688311688312,358,7.41815167840862
9,140,right_forward,right,forward,2.0,-3983,-1991.5,-5.078313124694864,5.078313124694864,-48.49431818181819,48.49431818181819,5.078313124694864,-4217,-5.3766624270244145,5.3766624270244145,-51.34334415584416,51.34334415584416,-234,5.874968616620638
9,140,left_reverse,left,reverse,2.0,-3620,-1810.0,-4.615489206978511,4.615489206978511,-44.074675324675326,44.074675324675326,-4.615489206978511,-3791,-4.833513697142413,4.833513697142413,-46.15665584415585,46.15665584415585,-171,4.723756906077348
9,140,right_reverse,right,reverse,2.0,4383,2191.5,5.588311932095805,5.588311932095805,53.36444805194805,53.36444805194805,-5.588311932095805,4708,6.0026859631090685,6.0026859631090685,57.32142857142858,57.32142857142858,325,7.415012548482775
10,150,left_forward,left,forward,2.0,5273,2636.5,6.723059278562897,6.723059278562897,64.20048701298701,64.20048701298701,6.723059278562897,5683,7.245808056148861,7.245808056148861,69.19237012987013,69.19237012987013,410,7.77545989000569
10,150,right_forward,right,forward,2.0,-4453,-2226.5,-5.677561723390969,5.677561723390969,-54.21672077922078,54.21672077922078,5.677561723390969,-4707,-6.001410966090567,6.001410966090567,-57.30925324675325,57.30925324675325,-254,5.7040197619582305
10,150,left_reverse,left,reverse,2.0,-4054,-2027.0,-5.168837913008531,5.168837913008531,-49.35876623376624,49.35876623376624,-5.168837913008531,-4256,-5.426387310746006,5.426387310746006,-51.81818181818182,51.81818181818182,-202,4.982733103108041
10,150,right_reverse,right,reverse,2.0,5030,2515.0,6.413235003066826,6.413235003066826,61.24188311688312,61.24188311688312,-6.413235003066826,5427,6.91940881941226,6.91940881941226,66.07548701298701,66.07548701298701,397,7.892644135188867
11,160,left_forward,left,forward,2.0,5657,2828.5,7.2126581336678,7.2126581336678,68.87581168831169,68.87581168831169,7.2126581336678,6086,7.759631854605309,7.759631854605309,74.09902597402598,74.09902597402598,429,7.583524836485769
11,160,right_forward,right,forward,2.0,-4906,-2453.0,-6.255135372772535,6.255135372772535,-59.73214285714286,59.73214285714286,6.255135372772535,-5205,-6.636359481304737,6.636359481304737,-63.372564935064936,63.372564935064936,-299,6.094578067672238
11,160,left_reverse,left,reverse,2.0,-4610,-2305.0,-5.877736255295838,5.877736255295838,-56.128246753246756,56.128246753246756,-5.877736255295838,-4852,-6.1862855337734075,6.1862855337734075,-59.074675324675326,59.074675324675326,-242,5.249457700650759
11,160,right_reverse,right,reverse,2.0,5359,2679.5,6.832709022154099,6.832709022154099,65.24756493506494,65.24756493506494,-6.832709022154099,5698,7.264933011426396,7.264933011426396,69.375,69.375,339,6.325807053554768
12,170,left_forward,left,forward,2.0,6168,3084.0,7.864181610122501,7.864181610122501,75.0974025974026,75.0974025974026,7.864181610122501,6652,8.481280167077639,8.481280167077639,80.99025974025975,80.99025974025975,484,7.8469520103761345
12,170,right_forward,right,forward,2.0,-5290,-2645.0,-6.744734227877437,6.744734227877437,-64.40746753246754,64.40746753246754,6.744734227877437,-5580,-7.114483363243119,7.114483363243119,-67.93831168831169,67.93831168831169,-290,5.482041587901701
12,170,left_reverse,left,reverse,2.0,-5088,-2544.0,-6.487184830139962,6.487184830139962,-61.94805194805195,61.94805194805195,-6.487184830139962,-5374,-6.851833977431634,6.851833977431634,-65.4301948051948,65.4301948051948,-286,5.621069182389937
12,170,right_reverse,right,reverse,2.0,6060,3030.0,7.726481932124248,7.726481932124248,73.78246753246754,73.78246753246754,-7.726481932124248,6445,8.217355784247653,8.217355784247653,78.46996753246754,78.46996753246754,385,6.353135313531354
13,180,left_forward,left,forward,2.0,6669,3334.5,8.50295511639218,8.50295511639218,81.19724025974027,81.19724025974027,8.50295511639218,7182,9.157028586883886,9.157028586883886,87.44318181818183,87.44318181818183,513,7.6923076923076925
13,180,right_forward,right,forward,2.0,-5782,-2891.0,-7.372032760980594,7.372032760980594,-70.39772727272728,70.39772727272728,7.372032760980594,-6116,-7.797881765160379,7.797881765160379,-74.46428571428572,74.46428571428572,-334,5.776547907298513
13,180,left_reverse,left,reverse,2.0,-5538,-2769.0,-7.06093348846602,7.06093348846602,-67.42694805194806,67.42694805194806,-7.06093348846602,-5881,-7.498257465812326,7.498257465812326,-71.60308441558442,71.60308441558442,-343,6.193571686529433
13,180,right_reverse,right,reverse,2.0,6537,3268.5,8.334655509949869,8.334655509949869,79.59009740259741,79.59009740259741,-8.334655509949869,7010,8.937729099701482,8.937729099701482,85.34902597402598,85.34902597402598,473,7.235735046657488
14,190,left_forward,left,forward,2.0,7201,3600.5,9.18125353023543,9.18125353023543,87.67451298701299,87.67451298701299,9.18125353023543,7729,9.854451956004672,9.854451956004672,94.10308441558442,94.10308441558442,528,7.332314956256075
14,190,right_forward,right,forward,2.0,-6031,-3015.5,-7.689507018587679,7.689507018587679,-73.42938311688312,73.42938311688312,7.689507018587679,-6378,-8.131930984007996,8.131930984007996,-77.65422077922078,77.65422077922078,-347,5.7536063671033
14,190,left_reverse,left,reverse,2.0,-5949,-2974.5,-7.5849572630704865,7.5849572630704865,-72.4310064935065,72.4310064935065,-7.5849572630704865,-6271,-7.995506303028243,7.995506303028243,-76.35146103896105,76.35146103896105,-322,5.412674399058665
14,190,right_reverse,right,reverse,2.0,7013,3506.5,8.941554090756988,8.941554090756988,85.38555194805195,85.38555194805195,-8.941554090756988,7503,9.56630262982314,9.56630262982314,91.35146103896105,91.35146103896105,490,6.9870240981035225
15,200,left_forward,left,forward,2.0,7510,3755.0,9.575227608952657,9.575227608952657,91.43668831168831,91.43668831168831,9.575227608952657,8074,10.294325927387982,10.294325927387982,98.30357142857143,98.30357142857143,564,7.509986684420772
15,200,right_forward,right,forward,2.0,-6489,-3244.5,-8.273455653061756,8.273455653061756,-79.00568181818183,79.00568181818183,8.273455653061756,-6905,-8.803854412758733,8.803854412758733,-84.07061688311688,84.07061688311688,-416,6.410849129295731
15,200,left_reverse,left,reverse,2.0,-6071,-3035.5,-7.740506899327773,7.740506899327773,-73.9163961038961,73.9163961038961,-7.740506899327773,-6460,-8.236480739525188,8.236480739525188,-78.65259740259741,78.65259740259741,-389,6.40751111843189
15,200,right_reverse,right,reverse,2.0,7552,3776.0,9.628777483729754,9.628777483729754,91.94805194805195,91.94805194805195,-9.628777483729754,8069,10.28795094229547,10.28795094229547,98.24269480519482,98.24269480519482,517,6.845868644067797
16,210,left_forward,left,forward,2.0,7999,3999.5,10.198701151000305,10.198701151000305,97.39042207792208,97.39042207792208,10.198701151000305,8625,10.996849284582778,10.996849284582778,105.01217532467533,105.01217532467533,626,7.82597824728091
16,210,right_forward,right,forward,2.0,-6861,-3430.5,-8.74775454394463,8.74775454394463,-83.5349025974026,83.5349025974026,8.74775454394463,-7281,-9.283253291715619,9.283253291715619,-88.64853896103897,88.64853896103897,-420,6.121556624398776
16,210,left_reverse,left,reverse,2.0,-6696,-3348.0,-8.537380035891744,8.537380035891744,-81.52597402597404,81.52597402597404,-8.537380035891744,-7084,-9.032078879070655,9.032078879070655,-86.25,86.25,-388,5.794504181600956
16,210,right_reverse,right,reverse,2.0,7938,3969.0,10.120926332871663,10.120926332871663,96.64772727272728,96.64772727272728,-10.120926332871663,8491,10.825999684103463,10.825999684103463,103.38068181818183,103.38068181818183,553,6.966490299823633
17,220,left_forward,left,forward,2.0,8509,4254.5,10.848949630436506,10.848949630436506,103.59983766233766,103.59983766233766,10.848949630436506,9115,11.62159782364893,11.62159782364893,110.97808441558442,110.97808441558442,606,7.12187096015983
